name,username,profile_url,followers_count
,aj.egypt,https://www.tiktok.com/@aj.egypt,
,egyptnt,https://www.tiktok.com/@egyptnt,
,cbcegypt,https://www.tiktok.com/@cbcegypt,
,b.laban.egypt,https://www.tiktok.com/@b.laban.egypt,
,tamer.elgayar,https://www.tiktok.com/@tamer.elgayar,
,avoicefromegypt,https://www.tiktok.com/@avoicefromegypt,
,the.holy.egypt,https://www.tiktok.com/@the.holy.egypt,
,eandegypt,https://www.tiktok.com/@eandegypt,
,egypt,https://www.tiktok.com/@egypt,
,ahmed_malek1,https://www.tiktok.com/@ahmed_malek1,
